Student,Timezone,Grade,Subject1,Other,Evaluation1,Subject2,Other2,Evaluation2,Subject3,Other3,Evaluation3,SAT,ACT,Availability,Platform
199,ET,6th Grade,Math (up to Algebra),,2,Other,Social Studies,2,Other,Science,3,,,"Tuesdays, Thursdays","Zoom, Facetime"
200,ET,10th Grade,History,,4,Biology,,4,English Writing,,4,,,"Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts"
201,ET,8th Grade,Other,Science,3,Other,ELA,2,Other,Social studies,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
202,CT,4th Grade,English Reading,,2,English Writing,,2,Math (up to Algebra),,3,,,"Tuesdays, Thursdays","Zoom, Facetime, Skype"
203,ET,8th Grade,Other,Science,3,History,,2,Math (up to Algebra),,3,,,"Tuesdays, Thursdays","Zoom, Facetime"
204,MT,3rd Grade,English Reading,,3,English Writing,,2,,,,,,"Mondays, Tuesdays, Wednesdays, Fridays",Zoom
205,MT,8th Grade,Spanish,,2,English Reading,,2,English Writing,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
206,MT,6th Grade,Math (up to Algebra),,3,English Writing,,2,English Reading,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
207,CT,7th Grade,English Writing,,1,Math (up to Algebra),,1,English Reading,,1,,,"Wednesdays, Thursdays, Saturdays","Zoom, Facetime"
208,CT,Kindergarten,English Reading,,1,English Writing,,1,,,,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Facetime"
209,PT,9th Grade,Physics,,2,Math (up to Algebra),,2,French,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays","Zoom, Facetime, Google Hangouts"
210,PT,11th Grade,SAT,,4,,,,,,,"Math, Reading, Writing",Math,"Fridays, Saturdays",Zoom
211,PT,10th Grade,English Writing,,1,Spanish,,2,Math (up to Algebra),,3,"Math, Reading, Writing",English,"Tuesdays, Fridays","Zoom, Facetime"
212,CT,4th Grade,English Reading,,4,English Writing,,4,Math (up to Algebra),,4,,,"Tuesdays, Thursdays","Zoom, Facetime, Google Hangouts"
213,PT,11th Grade,History,,3,English Writing,,3,Biology,,2,"Math, Reading, Writing","English, Math, Reading","Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays",Zoom
214,PT,9th Grade,Other,Business,2,English Writing,,3,,,,,,"Mondays, Wednesdays, Thursdays, Saturdays, Sundays","Zoom, Facetime"
215,PT,10th Grade,English Reading,,1,History,,2,Math (up to Algebra),,1,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts, Skype"
216,PT,7th Grade,English Writing,,3,Math (up to Algebra),,3,History,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts, Skype"
217,ET,7th Grade,English Writing,,1,Other,Science,1,Math (up to Algebra),,3,,,"Mondays, Wednesdays, Saturdays, Sundays","Zoom, Facetime"
218,ET,10th Grade,Physics,,1,Geometry,,1,English Writing,,1,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime"
219,ET,7th Grade,Math (up to Algebra),,3,English Writing,,3,ACT Science,,3,,"English, Math, Reading, Science","Mondays, Tuesdays, Wednesdays, Thursdays","Zoom, Google Hangouts"
220,PT,8th Grade,Math (up to Algebra),,2,English Writing,,2,English Reading,,3,,,"Tuesdays, Wednesdays, Thursdays","Zoom, Google Hangouts"
221,ET,12th Grade,English Writing,,2,English Reading,,2,,,,,,"Fridays, Saturdays",Zoom
222,ET,7th Grade,Geometry,,2,Computer Science,,2,Math (up to Algebra),,2,,,"Saturdays, Sundays",Zoom
223,ET,7th Grade,Math (up to Algebra),,4,,,,,,,,,"Mondays, Wednesdays",Zoom
224,ET,7th Grade,Math (up to Algebra),,3,Other,Science,2,Other,Humanities,2,,,Fridays,"Zoom, Facetime, Google Hangouts"
225,ET,11th Grade,SAT,,3,,,,,,,"Math, Writing",,"Fridays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts, Skype"
226,ET,10th Grade,SAT,,1,Computer Science,,3,Chemistry,,4,"Math, Reading, Writing",,"Fridays, Saturdays, Sundays",Zoom
227,ET,12th Grade,English Writing,,2,English Reading,,3,Chinese,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Facetime, Skype"
228,ET,7th Grade,Spanish,,3,English Writing,,3,Other,Social Studies,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays","Zoom, Google Hangouts"
229,ET,7th Grade,Math (up to Algebra),,3,English Writing,,4,English Reading,,5,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Saturdays, Sundays","Zoom, Facetime, Google Hangouts"
230,ET,7th Grade,Math (up to Algebra),,2,,,,,,,,,"Tuesdays, Wednesdays","Zoom, Facetime"
231,CT,5th Grade,English Reading,,4,English Writing,,4,Spanish,,3,,,Wednesdays,Zoom
232,CT,10th Grade,English Writing,,2,English Reading,,2,Geometry,,3,Math,"English, Math","Mondays, Wednesdays","Zoom, Facetime, Google Hangouts"
233,ET,5th Grade,Math (up to Algebra),,2,English Reading,,3,Chemistry,,1,,,"Mondays, Tuesdays",Google Hangouts
234,CT,12th Grade,English Reading,,4,English Writing,,4,Math (up to Algebra),,4,,,"Saturdays, Sundays","Zoom, Facetime, Google Hangouts, Skype"
235,ET,1st Grade,Math (up to Algebra),,2,English Reading,,3,English Writing,,1,,,"Mondays, Tuesdays",Google Hangouts
236,ET,7th Grade,Math (up to Algebra),,3,English Reading,,3,History,,1,,,Fridays,Google Hangouts
237,ET,11th Grade,SAT,,1,ACT English,,1,College Applications,,1,"Math, Reading, Writing","English, Math, Reading, Science","Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Facetime, Google Hangouts"
238,ET,7th Grade,Math (up to Algebra),,1,English Writing,,3,Other,Science,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Google Hangouts"
239,ET,5th Grade,English Writing,,3,Math (up to Algebra),,4,Other,SSAT/ISEE,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Google Hangouts"
240,ET,11th Grade,SAT,,3,ACT Math,,3,,,3,"Math, Reading, Writing","English, Math, Reading, Science","Mondays, Tuesdays","Zoom, Facetime"
241,ET,11th Grade,SAT,,2,Math (up to Algebra),,3,Calculus,,1,"Math, Reading, Writing","English, Math, Reading, Science","Wednesdays, Thursdays, Fridays","Zoom, Facetime, Google Hangouts"
242,PT,10th Grade,Math (up to Algebra),,3,,,,,,,,,"Tuesdays, Thursdays, Saturdays","Zoom, Google Hangouts"
243,ET,2nd Grade,English Reading,,1,Math (up to Algebra),,1,,,,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays, Saturdays, Sundays","Zoom, Google Hangouts"
244,ET,6th Grade,Math (up to Algebra),,3,English Writing,,2,English Reading,,2,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays","Zoom, Google Hangouts"
245,ET,3rd Grade,English Reading,,2,English Writing,,2,Math (up to Algebra),,4,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
246,ET,9th Grade,SAT,,3,English Writing,,2,Physics,,3,"Math, Reading, Writing",,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
247,ET,6th Grade,Math (up to Algebra),,3,English Writing,,4,Spanish,,2,,,"Mondays, Tuesdays, Fridays, Saturdays, Sundays",Zoom
248,ET,3rd Grade,English Writing,,1,English Reading,,3,Other,Geography,3,,,"Mondays, Tuesdays, Fridays, Saturdays, Sundays",Zoom
249,MT,4th Grade,Math (up to Algebra),Math,3,English Writing,,3,,,,,,"Mondays, Tuesdays, Fridays",Zoom
250,ET,12th Grade,Calculus,,4,English Reading,,3,English Writing,,3,,,"Mondays, Fridays",Zoom
251,ET,8th Grade,Math (up to Algebra),,3,Other,Science,3,English Reading,,3,,,"Mondays, Tuesdays, Fridays",Zoom
252,ET,6th Grade,Math (up to Algebra),,4,English Reading,,4,Other,Science,4,,,"Mondays, Tuesdays, Wednesdays, Thursdays",Zoom
253,ET,3rd Grade,Math (up to Algebra),,4,English Writing,,4,English Reading,,3,,,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays",Zoom
254,ET,9th Grade,Math (up to Algebra),,4,Other,Music or Robotics,4,English Writing,,4,,,"Saturdays, Sundays",Zoom
255,ET,8th Grade,Geometry,,4,English Writing,,4,,,,,,"Saturdays, Sundays",Zoom
256,ET,6th Grade,Math (up to Algebra),,4,English Writing,,,,,,,,"Saturdays, Sundays",Zoom
257,ET,10th Grade,English Reading,,3,English Writing,,3,Computer Science,,2,,,"Saturdays, Sundays",Google Hangouts
258,ET,8th Grade,English Writing,,1,English Reading,,1,Math (up to Algebra),,1,,,"Saturdays, Sundays",Google Hangouts
259,ET,4th Grade,English Writing,,3,Math (up to Algebra),,3,English Reading,,3,,,"Mondays, Wednesdays, Fridays","Zoom, Google Hangouts"
260,ET,2nd Grade,English Writing,,3,Math (up to Algebra),,3,English Reading,,3,,,"Mondays, Wednesdays, Fridays","Zoom, Google Hangouts"
